Location,Site,Reef Type ,Management,Current,Depth range,Transect,Genus ,Co-ccurrance,Count
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,1,Porites,"WS, P",1
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,1,Porites,"WS, P",2
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,1,Porites,WS,9
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,1,Porites,WS,2
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,2,Acropora,B,2
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,2,Acropora,B,5
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,2,Ctenactis,"B, WS",1
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,2,Fungia,B,1
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,2,Fungia,"B, other disease",1
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,2,Fungia,"B, WS",1
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,2,Galaxea,WS,1
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,2,Goniastrea,WS,1
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,2,Millepora,B,1
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,2,Pocillopora,B,46
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,2,Pocillopora,"B, other disease",2
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,2,Pocillopora,B,7
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,2,Porites,"B, P",1
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,2,Porites,"WS, P",4
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,2,Porites,"WS, others",1
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,2,Porites,WS,1
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,3,Acropora,B,1
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,3,Acropora,B,2
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,3,Diploastrea,WS,1
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,3,Fungia,B,3
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,3,Galaxea,B,1
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,3,Gardineroseris,"WS, P",1
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,3,Montastrea,"B, WS",1
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,3,Montipora,"WS, P",1
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,3,Pocillopora,B,47
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,3,Pocillopora,"B, others",1
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,3,Pocillopora,P,22
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,3,Porites,P,1
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,3,Porites,P,1
Leleuvia ,LUDF2,Fore reef,Open,High,Deep,3,Porites,WS,1
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,1,Acropora,B,5
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,1,Coscinaraea,"B, E",1
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,1,Coscinaraea,B,1
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,1,Diploastrea,WS,3
