site,transect,genus,B,others,FB,GA,IG,P,PR,TLS,UWS,WS,healthy,TotalD,Total Bleaching
LUSF1,2,Platygyra,0,0,0,0,0,0,0,0,0,0,1,0,0
LUSF1,2,Pocillopora,3,0,0,0,0,1,0,0,0,0,2,0,3
LUSF1,2,Porites,1,0,1,1,0,4,1,0,19,0,89,21,2
LUSF1,2,Psammocora,0,0,0,0,0,0,0,0,0,0,2,0,0
LUSF1,3,Acropora,2,0,0,0,0,0,0,0,0,0,101,0,2
LUSF1,3,Coscinaraea,0,0,0,0,0,0,0,0,0,0,4,0,0
LUSF1,3,Diploastrea,0,0,0,0,0,0,0,0,0,3,12,3,0
LUSF1,3,Echinopora,0,0,0,0,0,0,0,0,0,0,1,0,0
LUSF1,3,Favites,1,0,0,0,0,0,0,0,0,0,3,0,1
LUSF1,3,Galaxea,0,0,0,0,0,0,0,0,0,0,1,0,0
LUSF1,3,Goniastrea,0,0,0,0,0,0,0,0,0,0,4,0,0
LUSF1,3,Isopora,0,0,0,0,0,0,0,0,0,0,3,0,0
LUSF1,3,Leptastrea,0,0,0,0,0,0,0,0,0,0,1,0,0
LUSF1,3,Leptoria,0,0,1,0,0,0,0,0,1,0,0,1,1
LUSF1,3,Leptoseris,0,0,0,0,0,0,0,0,0,0,1,0,0
LUSF1,3,Lobophyllia,0,0,0,0,0,0,0,0,0,0,1,0,0
LUSF1,3,Montipora,1,0,0,0,0,0,0,0,1,0,14,1,1
LUSF1,3,Pavona,0,0,1,1,0,0,0,0,0,0,4,1,1
LUSF1,3,Platygyra,0,0,1,0,0,0,0,0,0,0,6,0,1
LUSF1,3,Pocillopora,11,0,0,1,0,1,1,0,0,0,19,2,11
LUSF1,3,Porites,1,1,7,0,0,3,2,0,10,1,39,14,8
LUSF2,1,Acropora,3,0,0,0,0,0,0,0,0,0,12,1,3
LUSF2,1,Astreopora,0,1,0,0,0,0,0,0,0,0,2,1,0
LUSF2,1,Coscinaraea,0,0,0,0,0,0,0,0,0,0,5,1,0
LUSF2,1,Diploastrea,0,0,0,0,0,0,0,0,0,0,1,0,0
LUSF2,1,Favia,0,0,0,0,0,0,0,0,0,0,1,0,0
LUSF2,1,Favites,3,0,0,0,0,0,0,0,0,0,2,0,3
LUSF2,1,Fungia,0,1,0,0,0,0,0,0,0,0,1,1,0
LUSF2,1,Goniastrea,1,0,0,0,0,0,0,0,0,0,2,1,1
LUSF2,1,Leptastrea,0,0,0,0,0,0,0,0,0,0,2,0,0
LUSF2,1,Merulina,0,0,0,0,0,0,0,0,0,0,3,0,0
LUSF2,1,Montipora,1,0,0,0,0,0,0,0,1,0,2,1,1
LUSF2,1,Pavona,1,0,0,0,0,0,0,0,0,0,12,0,1
LUSF2,1,Platygyra,0,0,0,0,0,0,0,0,0,0,1,0,0
LUSF2,1,Pocillopora,1,0,0,0,0,0,0,0,0,0,0,0,1
LUSF2,1,Polyphyllia,0,0,0,0,0,0,0,0,0,0,1,0,0
LUSF2,1,Porites,0,0,0,0,0,0,0,0,14,0,51,14,0
LUSF2,1,Stylophora,0,0,0,0,0,0,0,0,0,0,1,0,0
LUSF2,2,Acropora,0,0,0,0,0,2,0,0,0,0,51,0,0
LUSF2,2,Diploastrea,0,0,0,0,0,0,0,0,0,0,3,0,0
LUSF2,2,Favites,1,0,0,0,0,0,0,0,0,0,0,0,1
LUSF2,2,Montipora,0,0,0,0,0,0,0,0,0,0,3,0,0
LUSF2,2,Pavona,0,0,0,0,0,0,0,0,0,0,2,0,0
LUSF2,2,Platygyra,0,0,0,0,0,0,0,0,0,0,2,0,0
LUSF2,2,Pocillopora,0,0,0,1,0,0,2,0,0,0,9,3,0
LUSF2,2,Porites,0,0,1,0,0,5,0,0,8,0,61,8,1
LUSF2,2,Stylophora,0,0,0,0,0,0,0,0,0,0,7,0,0
LUSF2,3,Acropora,1,0,0,0,0,0,0,0,0,0,14,0,1
LUSF2,3,Coscinaraea,0,0,0,0,0,0,0,0,0,0,4,0,0
LUSF2,3,Diploastrea,0,0,0,0,0,0,0,0,0,1,6,1,0
LUSF2,3,Fungia,0,0,1,0,0,0,0,0,0,0,2,0,1
LUSF2,3,Galaxea,0,0,0,0,0,0,0,0,0,0,1,0,0
LUSF2,3,Goniastrea,0,0,0,0,0,0,0,0,0,0,4,0,0
LUSF2,3,Goniopora,0,0,0,0,0,0,0,0,0,0,1,0,0
LUSF2,3,Herpolitha,0,1,0,0,0,0,0,0,0,0,1,1,0
LUSF2,3,Montipora,0,0,0,0,0,0,0,0,0,0,1,1,0
LUSF2,3,Pavona,0,0,0,0,0,0,0,0,0,0,2,0,0
LUSF2,3,Pocillopora,3,0,0,2,0,3,0,0,0,0,3,2,3
LUSF2,3,Polyphyllia,0,0,1,0,0,0,0,0,0,0,0,0,1
LUSF2,3,Porites,0,0,6,0,0,9,2,0,22,0,75,24,6
LUSF2,3,Psammocora,0,0,0,0,0,0,0,0,0,0,1,0,0
LUSF2,3,Stylophora,0,0,0,1,0,0,0,0,0,0,3,1,0
LUSOH1,1,Acropora,9,0,1,1,0,1,0,0,1,1,116,3,10
LUSOH1,1,Coscinaraea,0,0,0,0,0,0,0,0,0,0,2,0,0
LUSOH1,1,Cyphastrea,0,0,0,0,0,0,0,0,0,0,5,0,0
LUSOH1,1,Diploastrea,0,0,0,0,0,0,0,0,0,0,1,0,0
LUSOH1,1,Favia,0,0,0,0,0,0,0,0,0,0,4,0,0
LUSOH1,1,Favites,5,0,0,0,0,0,0,0,0,0,10,0,5
LUSOH1,1,Fungia,0,0,0,0,0,0,1,0,0,0,0,1,0
LUSOH1,1,Galaxea,1,0,0,0,0,0,0,0,0,0,0,0,1
LUSOH1,1,Goniastrea,0,0,0,0,0,0,0,0,0,0,14,0,0
LUSOH1,1,Hydnophora,0,0,0,0,0,0,0,0,0,0,2,0,0
LUSOH1,1,Isopora,0,0,0,0,0,0,0,0,0,0,7,0,0
LUSOH1,1,Leptastrea,0,0,0,0,0,0,0,0,0,0,1,0,0
LUSOH1,1,Leptoria,4,0,0,0,0,0,0,0,0,0,1,0,4
LUSOH1,1,Montipora,4,0,0,0,0,0,0,0,1,0,25,1,4
LUSOH1,1,Oulophyllia,0,0,0,0,0,0,0,0,0,0,1,0,0
LUSOH1,1,Pavona,0,0,0,0,0,0,0,0,0,0,11,0,0
LUSOH1,1,Platygyra,0,0,0,0,0,0,0,0,0,0,14,0,0
LUSOH1,1,Pocillopora,3,0,0,1,0,0,0,0,0,0,20,1,3
LUSOH1,1,Porites,0,0,5,0,0,7,1,0,3,0,49,4,5
LUSOH1,1,Stylophora,1,0,0,0,0,0,0,0,0,0,16,0,1
LUSOH1,2,Acropora,0,0,0,0,0,0,0,0,0,0,91,0,0
LUSOH1,2,Coscinaraea,0,0,0,0,0,0,0,0,0,0,5,0,0
LUSOH1,2,Diploastrea,0,0,0,0,0,0,0,0,0,2,12,2,0
LUSOH1,2,Echinopora,0,0,0,0,0,0,0,0,0,0,2,0,0
LUSOH1,2,Favia,0,0,0,0,0,0,0,0,0,0,2,0,0
LUSOH1,2,Favites,3,0,0,0,0,0,0,0,0,0,1,0,3
LUSOH1,2,Fungia,0,0,0,0,0,0,0,0,0,0,1,0,0
LUSOH1,2,Galaxea,0,0,0,0,0,0,0,0,0,1,0,1,0
LUSOH1,2,Goniastrea,0,0,0,0,0,0,0,0,0,0,4,0,0
LUSOH1,2,Isopora,0,0,0,0,0,0,0,0,0,0,1,0,0
LUSOH1,2,Leptastrea,1,0,0,0,0,0,0,0,0,0,0,0,1
LUSOH1,2,Leptoria,0,0,0,0,0,0,0,0,0,0,1,0,0
LUSOH1,2,Leptoseris,1,0,0,2,0,0,0,0,0,0,0,2,1
LUSOH1,2,Lobophyllia,0,0,0,0,0,0,0,0,0,0,1,0,0
LUSOH1,2,Merulina,0,0,0,0,0,0,0,0,0,0,1,0,0
LUSOH1,2,Montipora,1,0,0,0,0,0,0,0,3,0,16,3,1
LUSOH1,2,Pavona,0,0,1,0,0,0,0,0,0,0,6,0,1
LUSOH1,2,Platygyra,0,0,0,0,0,0,0,0,0,0,4,0,0
LUSOH1,2,Pocillopora,8,0,0,1,0,0,1,0,0,0,17,2,8
LUSOH1,2,Porites,1,0,2,0,0,12,2,0,6,0,52,8,3
LUSOH1,2,Stylophora,0,0,0,1,0,0,0,0,0,0,1,1,0
LUSOH1,3,Acropora,2,0,0,1,0,0,0,0,0,1,110,2,2
LUSOH1,3,Coscinaraea,0,0,0,0,0,0,0,0,0,0,1,0,0
LUSOH1,3,Diploastrea,0,0,0,0,0,0,0,0,0,0,1,0,0
LUSOH1,3,Favites,1,0,0,0,0,0,0,0,0,0,0,0,1
LUSOH1,3,Fungia,0,0,0,0,0,0,0,0,0,0,1,0,0
LUSOH1,3,Goniastrea,0,0,0,0,0,0,0,0,0,0,5,0,0
LUSOH1,3,Montipora,0,0,0,0,0,0,0,0,0,0,3,0,0
LUSOH1,3,Platygyra,0,0,0,0,0,0,0,0,0,0,4,0,0
LUSOH1,3,Pocillopora,1,0,0,0,0,0,0,0,0,0,11,0,1
LUSOH1,3,Porites,0,0,0,0,0,7,0,0,2,0,53,2,0
LUSOH1,3,Stylophora,0,0,0,1,0,0,0,0,0,0,7,1,0
LUSOH1,3,Turbinaria ,0,0,0,0,0,0,0,0,0,0,1,0,0
LUSOH2,1,Acropora,2,0,1,1,0,1,0,0,0,3,128,4,3
LUSOH2,1,Coscinaraea,0,0,0,0,0,0,0,0,0,0,1,0,0
LUSOH2,1,Cyphastrea,0,0,0,0,0,0,0,0,0,0,1,0,0
LUSOH2,1,Diploastrea,0,0,0,0,0,0,0,0,0,0,7,0,0
LUSOH2,1,Echinopora,0,0,0,0,0,0,0,0,0,0,8,0,0
LUSOH2,1,Favia,1,0,0,0,0,0,0,0,0,0,0,0,1
LUSOH2,1,Favites,6,0,0,0,0,0,0,0,0,0,4,0,6
LUSOH2,1,Fungia,0,0,0,0,0,0,5,0,0,0,3,5,0
LUSOH2,1,Galaxea,0,0,0,0,0,0,0,0,0,0,5,0,0
LUSOH2,1,Goniastrea,0,0,1,0,0,0,0,0,0,0,35,0,1
LUSOH2,1,Goniopora,0,0,0,0,0,0,0,0,0,0,1,0,0
LUSOH2,1,Hydnophora,0,0,0,0,0,0,0,0,0,0,3,0,0
LUSOH2,1,Leptoria,0,0,0,0,0,0,0,0,0,0,5,0,0
LUSOH2,1,Lobophyllia,0,0,0,0,0,0,0,0,0,0,2,0,0
LUSOH2,1,Merulina,0,0,0,0,0,0,0,0,0,0,2,0,0
LUSOH2,1,Montipora,0,0,0,0,0,0,0,0,0,0,16,0,0
LUSOH2,1,Pavona,1,0,0,0,0,0,0,0,0,0,20,0,1
LUSOH2,1,Platygyra,0,0,0,0,0,0,0,0,0,0,14,0,0
LUSOH2,1,Pocillopora,0,0,0,0,0,0,0,0,0,0,28,0,0
LUSOH2,1,Polyphyllia,0,0,0,0,0,0,0,0,0,0,1,0,0
LUSOH2,1,Porites,0,0,0,0,0,14,1,0,2,0,93,3,0
LUSOH2,1,Psammocora,0,0,0,0,0,0,0,0,0,0,1,0,0
LUSOH2,1,Stylophora,0,0,0,2,0,0,0,0,0,0,8,2,0
LUSOH2,2,Acropora,0,0,0,0,0,0,0,0,0,0,8,0,0
LUSOH2,2,Astreopora,0,0,0,0,0,0,1,0,0,0,0,1,0
LUSOH2,2,Favia,1,0,0,0,0,0,0,0,0,0,0,0,1
LUSOH2,2,Favites,4,0,0,0,0,0,0,0,0,0,1,0,4
LUSOH2,2,Goniastrea,2,0,0,0,0,0,0,0,0,0,8,0,2
LUSOH2,2,Leptoria,1,0,0,0,0,0,0,0,0,0,0,0,1
LUSOH2,2,Lobophyllia,0,0,0,0,0,0,0,0,0,0,1,0,0
LUSOH2,2,Platygyra,0,0,0,0,0,0,0,0,0,0,5,0,0
LUSOH2,2,Pocillopora,0,0,0,0,0,0,0,0,0,0,4,0,0
LUSOH2,2,Porites,0,0,1,0,0,2,2,0,3,0,56,5,1
LUSOH2,2,Stylophora,0,0,0,0,0,0,0,0,0,0,1,0,0
LUSOH2,3,Acropora,0,0,0,0,0,0,0,0,0,0,4,0,0
LUSOH2,3,Favia,0,0,0,0,0,0,0,0,0,0,1,0,0
LUSOH2,3,Fungia,0,0,0,0,0,0,0,0,0,0,1,0,0
LUSOH2,3,Goniastrea,0,0,0,0,0,0,0,0,0,0,6,0,0
LUSOH2,3,Pocillopora,5,0,0,0,0,1,0,0,0,0,5,0,5
LUSOH2,3,Porites,0,0,2,0,0,4,2,0,1,0,44,3,2
LUSOH2,3,Stylophora,0,0,0,1,0,0,0,0,0,0,7,1,0
LUSRF1,1,Acropora,1,0,1,0,0,0,0,0,0,0,58,0,2
LUSRF1,1,Echinopora,0,0,0,0,0,0,0,0,0,0,1,0,0
LUSRF1,1,Fungia,0,0,0,0,0,0,0,0,2,0,0,2,0
LUSRF1,1,Goniastrea,0,0,0,0,0,0,0,0,0,0,2,0,0
LUSRF1,1,Isopora,0,0,0,0,0,0,0,0,0,0,1,0,0
LUSRF1,1,Montipora,0,0,0,0,0,0,0,0,0,0,1,0,0
LUSRF1,1,Pavona,0,0,0,0,0,0,0,0,0,0,1,0,0
LUSRF1,1,Platygyra,0,0,0,0,0,0,0,0,0,0,2,0,0
LUSRF1,1,Pocillopora,1,0,0,0,0,0,0,0,0,0,4,0,1
LUSRF1,1,Porites,0,0,0,0,0,8,0,0,0,0,11,0,0
LUSRF1,1,Stylophora,0,0,0,0,0,0,0,0,0,0,2,0,0
LUSRF1,2,Acropora,2,1,0,0,0,1,0,0,0,0,81,1,2
