Location,Date,Time,SiteName,Transect#,Genus ,NumberperTransect,Growthforms,Signs of abornmality,Types,Syndrome,Causes,Potential Syndrome - If disease,Other non disease potential ,Other potential non diseae Symptom,Comments,New Cat
Leleuvia,11/24/2013,4:50pm,LUSOH1,2,Pocillopora,1,CC,2,"GA, B, PD",GA,,Growth Anomalies ,Bleaching ,,Partly dead with GA and white spots,GA
Leleuvia,11/24/2013,4:50pm,LUSOH1,2,Porites,1,M ,1,P,P,P,,Predation,,"White spots on surface, signs of predation",P
Leleuvia,11/24/2013,4:50pm,LUSOH1,2,Pocillopora,1,SM,3,PD,,,,,,,PD
Leleuvia,11/24/2013,4:50pm,LUSOH1,2,Acropora,13,T,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,2,Platygyra,1,M ,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,2,Pavona,1,F,1,"FB, PD",FB,B,,Focal Bleaching ,,Partly dead with white spots on surface,FB
Leleuvia,11/24/2013,4:50pm,LUSOH1,2,Coscinaraea,1,SM,3,PD,,,,,,,PD
Leleuvia,11/24/2013,4:50pm,LUSOH1,2,Porites,2,M ,3,PD,,,,,,,PD
Leleuvia,11/24/2013,4:50pm,LUSOH1,2,Porites,2,E,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,2,Pavona,1,SM,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,2,Diploastrea,1,M ,3,PD,,,,,,,PD
Leleuvia,11/24/2013,4:50pm,LUSOH1,2,Galaxea,1,M ,1,"WS, UWSD, E, PD",WS,WS,White Syndrome,Ulcerative White Spot Disease,Eroded,Partly dead with signs of erosion and white spot and also on partly dead portion show signs of WS,WS
Leleuvia,11/24/2013,4:50pm,LUSOH1,2,Montipora,1,SM,3,PD,,,,,,,PD
Leleuvia,11/24/2013,4:50pm,LUSOH1,2,Favites,2,SM,1,"B, PD",B,B,,Bleaching ,,Partly dead with white spots,BL
Leleuvia,11/24/2013,4:50pm,LUSOH1,2,Montipora,2,SM,1,"UWSD, PD",UWS,WSO,Ulcerative White Spot Disease,,,Partly dead with white spots,UWS
Leleuvia,11/24/2013,4:50pm,LUSOH1,2,Porites,1,M ,3,PD,,,,,,,PD
Leleuvia,11/24/2013,4:50pm,LUSOH1,2,Porites,2,M ,1,P,P,P,,Predation,,Signs of grazing marks,P
Leleuvia,11/24/2013,4:50pm,LUSOH1,2,Pavona,1,SM,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,2,Pocillopora,1,SM,3,PD,,,,,,,PD
Leleuvia,11/24/2013,4:50pm,LUSOH1,2,Diploastrea,2,M ,3,PD,,,,,,,PD
