Location,Date,Time,SiteName,Transect#,Genus ,NumberperTransect,Growthforms,Signs of abornmality,Types,Potential Syndrome - If disease,Other non disease potential ,Other potential non diseae Symptom,Comments,Cat
NanuyaLailai,,,NLDF2,1,Porites,1,M ,1,"USWD, P, PD",Ulcerative White Spot Disease,Predation,,Partly dead with white spots and fish bite marks,UWS
NanuyaLailai,,,NLDF2,1,Acropora,1,T,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Montipora,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Acropora,1,T,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Acropora,1,T,1,B,,Bleaching ,,Whole colony is white,B
NanuyaLailai,,,NLDF2,1,Montipora,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Acropora,1,T,1,B,,Bleaching ,,Some parts of colony bleached,B
NanuyaLailai,,,NLDF2,1,Pocillopora,2,CC,1,"B, PD",,Bleaching ,,Partly dead with some branches bleached,B
NanuyaLailai,,,NLDF2,1,Porites,2,M ,2,"E, PR, PD",Pigmentation Response,Eroded,,Partly dead with signs of organism burrowing and pink spots around injury ,PR
NanuyaLailai,,,NLDF2,1,Porites,2,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Acropora,3,T,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Porites,1,E,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Porites,2,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Porites,1,M ,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Porites,1,M ,1,"FB, P, PD",,Focal Bleaching ,Predation,Partly dead massive colony with white patches and fish bite marks ,FB
NanuyaLailai,,,NLDF2,1,Pocillopora,1,CC,1,"B, PD",,Bleaching ,,Partly dead with white patches on some branches,B
NanuyaLailai,,,NLDF2,1,Acropora,1,T,1,"B, ",,Bleaching ,,White patches on some branches,B
NanuyaLailai,,,NLDF2,1,Diploastrea,1,M ,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Acropora,7,T,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Pocillopora,1,CC,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Acropora,2,B,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Coscinaraea,1,SM,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Millepora,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Porites,1,F,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Porites,1,M ,1,"P, PD",,Predation,,Partly dead with fish bite marks,P
NanuyaLailai,,,NLDF2,1,Millepora,1,B,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Porites,1,SM,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Fungia,1,S,2,PR,Pigmentation Response,,,Purple coloration on the side of colony,PR
NanuyaLailai,,,NLDF2,1,Acropora,1,B,1,"B, ",,Bleaching ,,Some branches are bleached,B
NanuyaLailai,,,NLDF2,1,Acropora,1,D,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Favites,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Porites,1,M ,1,"UWSD, PD",Ulcerative White Spot Disease,,,Partly dead with white spots on surface,UWS
NanuyaLailai,,,NLDF2,1,Acropora,1,T,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Pocillopora,1,CC,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Stylophora,1,B,1,B,,Bleaching ,,White patches on some branches,B
NanuyaLailai,,,NLDF2,1,Acropora,2,B,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Acropora,1,T,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Millepora,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Pocillopora,1,SM,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Acropora,1,B,1,"USWD, PD",Ulcerative White Spot Disease,,,Partly dead with white spots on surface,UWS
NanuyaLailai,,,NLDF2,1,Porites,2,M ,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Porites,1,M ,1,USWD,Ulcerative White Spot Disease,,,White spots on surface,UWS
NanuyaLailai,,,NLDF2,1,Stylophora,1,B,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Millepora,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Acropora,1,T,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Acropora,1,T,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Porites,1,SM,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Acropora,1,B,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Acropora,1,T,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Millepora,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Goniastrea,1,M ,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Favites,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Fungia,1,S,2,"GA, FB",Growth Anomalies ,Focal Bleaching ,,Colony with GA and white patches ,GA
