Location,Date,Time,SiteName,Transect#,Genus ,NumberperTransect,Growthforms,Signs of abornmality,Types,Potential Syndrome - If disease,Other non disease potential ,Other potential non diseae Symptom,Comments,New Cat
NanuyaLailai,12/5/2014,13:53,NLSRF2,2,Acropora,6,D,1,B,,Bleaching ,,,BL
NanuyaLailai,12/5/2014,13:53,NLSRF2,2,Pocillopora,1,CC,1,B,,Bleaching ,,,BL
NanuyaLailai,12/5/2014,13:53,NLSRF2,2,Pavona,1,E,0,,,,,,H
NanuyaLailai,12/5/2014,13:53,NLSRF2,2,Acropora,1,B,0,,,,,,H
NanuyaLailai,12/5/2014,13:53,NLSRF2,2,Acropora,2,D,0,,,,,,H
NanuyaLailai,12/5/2014,13:53,NLSRF2,2,Montipora,1,E,3,PD,,,,,PD
NanuyaLailai,12/5/2014,13:53,NLSRF2,2,Acropora,3,E,1,B,,,,,BL
NanuyaLailai,12/5/2014,13:53,NLSRF2,2,Goniastrea,1,SM,1,B,,Bleaching ,,White patches (no tissue loss),BL
NanuyaLailai,12/5/2014,13:53,NLSRF2,2,Porites,1,E,0,,,,,,H
NanuyaLailai,12/5/2014,13:53,NLSRF2,2,Acropora,1,D,1,B,,Bleaching ,,,BL
NanuyaLailai,12/5/2014,13:53,NLSRF2,2,Acropora,1,D,0,,,,,,H
NanuyaLailai,12/5/2014,13:53,NLSRF2,2,Pocillopora,1,SM,1,B,,Bleaching ,,,BL
NanuyaLailai,12/5/2014,13:53,NLSRF2,2,Porites,1,SM,3,PD,,,,,PD
NanuyaLailai,12/5/2014,13:53,NLSRF2,2,Acropora,4,T,0,,,,,,H
NanuyaLailai,12/5/2014,13:53,NLSRF2,2,Acropora,2,D,0,,,,,,H
NanuyaLailai,12/5/2014,13:53,NLSRF2,2,Acropora,2,B,0,,,,,,H
NanuyaLailai,12/5/2014,13:53,NLSRF2,2,Montipora,1,E,1,B,,Bleaching ,,,BL
NanuyaLailai,12/5/2014,13:53,NLSRF2,2,Pocillopora,2,SM,0,,,,,,H
NanuyaLailai,12/5/2014,13:53,NLSRF2,2,Acropora,3,B,0,,,,,,H
NanuyaLailai,12/5/2014,13:53,NLSRF2,2,Acropora,2,D,0,,,,,,H
NanuyaLailai,12/5/2014,13:53,NLSRF2,2,Porites,1,M ,3,PD,,,,,PD
NanuyaLailai,12/5/2014,13:53,NLSRF2,2,Pocillopora,2,CC,1,B,,Bleaching ,,,BL
NanuyaLailai,12/5/2014,13:53,NLSRF2,2,Acropora,1,E,1,B,,Bleaching ,,,BL
NanuyaLailai,12/5/2014,13:53,NLSRF2,2,Goniastrea,1,E,1,B,,Bleaching ,,,BL
NanuyaLailai,12/5/2014,13:53,NLSRF2,2,Acropora,1,E,0,,,,,,H
NanuyaLailai,12/5/2014,13:53,NLSRF2,2,Acropora,1,B,0,,,,,,H
NanuyaLailai,12/5/2014,13:53,NLSRF2,2,Montipora,1,F,0,,,,,,H
NanuyaLailai,12/5/2014,13:53,NLSRF2,2,Acropora,3,E,1,B,,Bleaching ,,,BL
NanuyaLailai,12/5/2014,13:53,NLSRF2,2,Montipora,1,F,1,"B, PD",,Bleaching ,,Partly dead and bleached,BL
NanuyaLailai,12/5/2014,13:53,NLSRF2,2,Pocillopora,1,CC,1,B,,Bleaching ,,,BL
NanuyaLailai,12/5/2014,13:53,NLSRF2,2,Acropora,2,E,1,B,,Bleaching ,,,BL
NanuyaLailai,12/5/2014,13:53,NLSRF2,2,Acropora,12,T,0,,,,,,H
NanuyaLailai,12/5/2014,13:53,NLSRF2,2,Acropora,3,D,0,,,,,,H
NanuyaLailai,12/5/2014,13:53,NLSRF2,2,Pocillopora,1,CC,0,,,,,,H
NanuyaLailai,12/5/2014,13:53,NLSRF2,2,Montipora,2,F,0,,,,,,H
NanuyaLailai,12/5/2014,13:53,NLSRF2,2,Acropora,11,T,0,,,,,,H
NanuyaLailai,12/5/2014,13:53,NLSRF2,2,Pocillopora,1,CC,1,B,,Bleaching ,,,BL
NanuyaLailai,12/5/2014,13:53,NLSRF2,2,Pocillopora,2,CC,0,,,,,,H
NanuyaLailai,12/5/2014,13:53,NLSRF2,2,Acropora,4,B,0,,,,,,H
NanuyaLailai,12/5/2014,13:53,NLSRF2,2,Pocillopora,1,SM,2,GA,Growth Anomalies ,,,,GA
NanuyaLailai,12/5/2014,13:53,NLSRF2,2,Montipora,2,F,0,,,,,,H
NanuyaLailai,12/5/2014,13:53,NLSRF2,2,Montipora,2,B,0,,,,,,H
NanuyaLailai,12/5/2014,13:53,NLSRF2,2,Acropora,2,D,0,,,,,,H
NanuyaLailai,12/5/2014,13:53,NLSRF2,2,Acropora,3,T,0,,,,,,H
NanuyaLailai,12/5/2014,13:53,NLSRF2,2,Pocillopora,1,SM,0,,,,,,H
